measurementPoint,informationalAlerts,warningAlerts,minorAlerts,majorAlerts,severeAlerts,e2eLatencyError,e2eLatencyFactor,e2eLatencyUnit,e2eLatencyMin,e2eLatencyMean,e2eLatencyMax,e2eLatencyCount,e2eLatencyPercentile,e2eDelayTargetError,e2eDelayTargetFactor,e2eDelayTargetUnit,e2eDelayTargetValue,remoteRoundtripTimeFactor,remoteRoundtripTimeUnit,remoteRoundtripTimeMin,remoteRoundtripTimeMean,remoteRoundtripTimeMax,remoteRoundtripTimeCount,localRoundtripTimeFactor,localRoundtripTimeUnit,localRoundtripTimeMin,localRoundtripTimeMean,localRoundtripTimeMax,localRoundtripTimeCount,roundtripTimeEventThresholdFactor,roundtripTimeEventThresholdUnit,roundtripTimeEventThresholdValue,e2eLatency95.0%
rt-class/CUST_Bergman//London_CNE/CustomerGateway/TrafficGaps-BusinessHours/class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,2661,2846,3097,8,1000,ms,43871,43910,43945,8,1000,ms,1000000,
rt-class/CUST_Bergman//London_CNE/CustomerGateway/TrafficGaps/class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,2661,2846,3097,8,1000,ms,43871,43910,43945,8,1000,ms,1000000,
rt-class/CUST_BlaiseCapital/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_BriteEdge/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_BroadwayLLC/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_CLine/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_Clearborn/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_DarkCross/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_Excalibur/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_FlowCapital//London_CNE/CustomerGateway//class-default,,,,,,,1000000,ms,48155000,222926000,580149000,9,580149000,,1000000,ms,1000000000,1000,ms,1415,24711,48007,2,1000,ms,38675,38699,38758,7,1000,ms,200000,580149000
rt-class/CUST_GreenSyke/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,18344000,179753698,687690001,278,529733704,,1000000,ms,500000000,1000,ms,3364,4217,8147,75,1000,ms,43856,43870,43895,4,1000,ms,200000,393021575
rt-class/CUST_HedgeFuture/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,6089000,7127572,10825000,35,10825000,,1000000,ms,500000000,1000,ms,2200,2802,3036,5,1000,ms,15808,15853,15884,12,1000,ms,200000,9139808
rt-class/CUST_JJR-inc/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,48155000,222926000,580149000,9,580149000,,1000000,ms,500000000,1000,ms,48007,48007,48007,1,1000,ms,38675,38692,38705,5,1000,ms,200000,580149000
rt-class/CUST_LaSalle/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_MapleGroup/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_NP-Trading/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,4309000,4309000,4309000,1,4309000,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,4309000
rt-class/CUST_Optnet/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_RJC-Partners/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_RiteNote/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,15777,15826,15883,18,1000,ms,200000,-1
rt-class/CUST_SchwartzCap//London_CNE/CustomerGateway//class-default,,,,,,,1000000,ms,2921000,4711350,6459000,20,6078001,,1000000,ms,1000000000,1000,ms,3068,3068,3068,1,1000,ms,97660,97676,97701,5,1000,ms,200000,6078001
rt-class/CUST_Securitize/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_SorrinPtnrs/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_TertiarLLC/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_Ukemi/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,2921000,4732527,6459000,19,6459000,,1000000,ms,500000000,1000,ms,3068,3068,3068,1,1000,ms,97660,97676,97701,5,1000,ms,200000,6459000
rt-class/CUST_WallCity/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_WhiteLine/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_Xtense/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_YTrade//London_CNE/CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,1000000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CustomerGateway//London_CNE/CUST_AlphaChase//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,1415,1415,1415,1,1000,ms,38677,38718,38758,2,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_Arco//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_BlaiseCapital//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_BriteEdge//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_BroadwayLLC//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_CLine//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_Clearborn//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_DarkCross//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_Excalibur//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_GreenSyke//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,3364,4217,8147,75,1000,ms,43856,43870,43895,4,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_HedgeFuture//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,2200,2802,3036,5,1000,ms,15808,15851,15884,13,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_JJR-inc//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,48007,48007,48007,1,1000,ms,38675,38695,38713,6,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_LaSalle//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_MapleGroup//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_NP-Trading//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_Optnet//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_RJC-Partners//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_RiteNote//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,15777,15825,15883,17,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_Securitize//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_SorrinPtnrs//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_TertiarLLC//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_Ukemi//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,3068,3068,3068,1,1000,ms,97660,97676,97701,5,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_WallCity//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_WhiteLine//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_Xtense//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway/London_CNE//CUST_AlgoSpeed//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,2200,2878,3036,8,1000,ms,15775,15840,16078,60,1000,ms,200000,
rt-class/CustomerGateway/London_CNE//CUST_Bergman//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,2661,4085,8147,83,1000,ms,43856,43897,43945,12,1000,ms,200000,
rt-class/CustomerGateway/London_CNE//CUST_Bergman/TrafficGaps-BusinessHours/class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,2661,4085,8147,83,1000,ms,43856,43897,43945,12,1000,ms,1000000,
rt-class/CustomerGateway/London_CNE//CUST_Bergman/TrafficGaps/class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,2661,4085,8147,83,1000,ms,43856,43897,43945,12,1000,ms,1000000,
rt-class/CustomerGateway/London_CNE//CUST_FlowCapital//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,1415,24711,48007,2,1000,ms,38675,38701,38758,8,1000,ms,200000,
rt-class/CustomerGateway/London_CNE//CUST_SchwartzCap//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,3068,3068,3068,1,1000,ms,97660,97676,97701,5,1000,ms,200000,
rt-class/CustomerGateway/London_CNE//CUST_YTrade//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
