measurementPoint,informationalAlerts,warningAlerts,minorAlerts,majorAlerts,severeAlerts,e2eLatencyError,e2eLatencyFactor,e2eLatencyUnit,e2eLatencyMin,e2eLatencyMean,e2eLatencyMax,e2eLatencyCount,e2eLatencyPercentile,e2eDelayTargetError,e2eDelayTargetFactor,e2eDelayTargetUnit,e2eDelayTargetValue,remoteRoundtripTimeFactor,remoteRoundtripTimeUnit,remoteRoundtripTimeMin,remoteRoundtripTimeMean,remoteRoundtripTimeMax,remoteRoundtripTimeCount,localRoundtripTimeFactor,localRoundtripTimeUnit,localRoundtripTimeMin,localRoundtripTimeMean,localRoundtripTimeMax,localRoundtripTimeCount,roundtripTimeEventThresholdFactor,roundtripTimeEventThresholdUnit,roundtripTimeEventThresholdValue,e2eLatency95.0%
rt-class/CUST_Bergman//London_CNE/CustomerGateway/TrafficGaps-BusinessHours/class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,2694,2870,3032,8,1000,ms,43893,45696,58158,8,1000,ms,1000000,
rt-class/CUST_Bergman//London_CNE/CustomerGateway/TrafficGaps/class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,2694,2870,3032,8,1000,ms,43893,45696,58158,8,1000,ms,1000000,
rt-class/CUST_BlaiseCapital/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_BriteEdge/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,18315000,168419439,519156000,251,474812883,,1000000,ms,500000000,1000,ms,3334,4325,7840,66,1000,ms,43898,43903,43907,2,1000,ms,200000,400921309
rt-class/CUST_BroadwayLLC/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_CLine/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_Clearborn/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_DarkCross/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_Excalibur/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_FlowCapital//London_CNE/CustomerGateway//class-default,,,,,,,1000000,ms,30732000,162061000,400037000,20,309530480,,1000000,ms,1000000000,1000,ms,508,22828,46400,4,1000,ms,38651,38710,38751,15,1000,ms,200000,309530480
rt-class/CUST_GreenSyke/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,15861,15893,16046,22,1000,ms,200000,-1
rt-class/CUST_HedgeFuture/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,6390000,11664767,41436000,30,41436000,,1000000,ms,500000000,1000,ms,508,2225,3078,7,1000,ms,15761,15832,15896,16,1000,ms,200000,33990569
rt-class/CUST_JJR-inc/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_LaSalle/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_MapleGroup/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,57007000,262193000,467379000,2,467379000,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,467379000
rt-class/CUST_NP-Trading/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_Optnet/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_RJC-Partners/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,6288000,13343000,51439000,39,51439000,,1000000,ms,500000000,1000,ms,2688,2948,3437,8,1000,ms,15771,15830,15896,19,1000,ms,200000,41889703
rt-class/CUST_RiteNote/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_SchwartzCap//London_CNE/CustomerGateway//class-default,,,,,,,1000000,ms,4670000,4829750,5119000,4,5119000,,1000000,ms,1000000000,1000,ms,-1,-1,-1,0,1000,ms,97670,97684,97698,2,1000,ms,200000,5119000
rt-class/CUST_Securitize/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_SorrinPtnrs/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_TertiarLLC/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_Ukemi/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,30732000,162061000,400037000,20,400037000,,1000000,ms,500000000,1000,ms,43686,45043,46400,2,1000,ms,38651,38710,38751,15,1000,ms,200000,309530480
rt-class/CUST_WallCity/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_WhiteLine/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_Xtense/London_CNE//CustomerGateway//class-default,,,,,,,1000000,ms,-1,-1,-1,0,-1,,1000000,ms,500000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,-1
rt-class/CUST_YTrade//London_CNE/CustomerGateway//class-default,,,,,,,1000000,ms,57007000,262193000,467379000,2,467379000,,1000000,ms,1000000000,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,467379000
rt-class/CustomerGateway//London_CNE/CUST_AlphaChase//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,15825,32216,97670,5,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_Arco//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_BlaiseCapital//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_BriteEdge//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,3334,4325,7840,66,1000,ms,43898,43903,43907,2,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_BroadwayLLC//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_CLine//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_Clearborn//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_DarkCross//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_Excalibur//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_GreenSyke//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,15861,15893,16046,22,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_HedgeFuture//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,508,2225,3078,7,1000,ms,15761,15832,15896,16,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_JJR-inc//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_LaSalle//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_MapleGroup//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_NP-Trading//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_Optnet//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_RJC-Partners//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,2688,2948,3437,8,1000,ms,15771,15830,15896,19,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_RiteNote//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_Securitize//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_SorrinPtnrs//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_TertiarLLC//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_Ukemi//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,43686,45043,46400,2,1000,ms,38651,38705,38751,15,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_WallCity//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_WhiteLine//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway//London_CNE/CUST_Xtense//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
rt-class/CustomerGateway/London_CNE//CUST_AlgoSpeed//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,2530,2918,3437,13,1000,ms,15761,15855,16046,63,1000,ms,200000,
rt-class/CustomerGateway/London_CNE//CUST_Bergman//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,2694,4167,7840,74,1000,ms,43893,45337,58158,10,1000,ms,200000,
rt-class/CustomerGateway/London_CNE//CUST_Bergman/TrafficGaps-BusinessHours/class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,2694,4167,7840,74,1000,ms,43893,45337,58158,10,1000,ms,1000000,
rt-class/CustomerGateway/London_CNE//CUST_Bergman/TrafficGaps/class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,2694,4167,7840,74,1000,ms,43893,45337,58158,10,1000,ms,1000000,
rt-class/CustomerGateway/London_CNE//CUST_FlowCapital//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,508,22828,46400,4,1000,ms,38651,38705,38751,15,1000,ms,200000,
rt-class/CustomerGateway/London_CNE//CUST_SchwartzCap//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,97670,97684,97698,2,1000,ms,200000,
rt-class/CustomerGateway/London_CNE//CUST_YTrade//class-default,,,,,,Statistic turned off for that measurement point,1000000,ms,,,,,,Statistic turned off for that measurement point,1000000,ms,,1000,ms,-1,-1,-1,0,1000,ms,-1,-1,-1,0,1000,ms,200000,
