measurementPoint,informationalAlerts,warningAlerts,minorAlerts,majorAlerts,severeAlerts,displayName,configuredCapacity,configuredCapacityUnit,totalBytes,totalBytesUnit,networkServiceIndicator,networkServiceIndicatorFactor,networkServiceIndicatorUnit,monitoringMechanism,maxMicroburst,maxMicroburstUnit,oneSecondPeak,oneSecondPeakUnit,recommendation,measuresMessages,packetMicroburstAvailable,effectiveCapacity,effectiveCapacityUnit,averageUtilisation,averageUtilisationUnit,linkSizePacketDelay,linkSizePacketDelayUnit,linkSizeQueueLength,linkSizeQueueLengthUnit
channel/CUST_AlphaChase/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_AlphaChase] -> [CustomerGateway] ,100000,kbps,389738,B,10,100,,pnqm,900,messages per second,39,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_Arco/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_Arco] -> [CustomerGateway] ,100000,kbps,1062087,B,70,100,,pnqm,600,messages per second,19,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_Bergman//London_CNE/CustomerGateway/,,,,,,[CUST_Bergman] -> London_CNE[CustomerGateway] ,100000,kbps,7492466,B,480,100,,pnqm,650,messages per second,60,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_Bergman//London_CNE/CustomerGateway/TrafficGaps,,,,,,[CUST_Bergman] -> London_CNE[CustomerGateway] TrafficGaps,100000,kbps,851364,B,10,100,,tcp,267,kbps,22,kbps,none,FALSE,TRUE,100000,kbps,0,%,36,kbps,4,kbps
channel/CUST_Bergman//London_CNE/CustomerGateway/TrafficGaps-BusinessHours,,,,,,[CUST_Bergman] -> London_CNE[CustomerGateway] TrafficGaps-BusinessHours,100000,kbps,851364,B,-1,100,,none,267,kbps,22,kbps,none,FALSE,TRUE,100000,kbps,0,%,36,kbps,4,kbps
channel/CUST_BlaiseCapital/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_BlaiseCapital] -> [CustomerGateway] ,100000,kbps,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_BriteEdge/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_BriteEdge] -> [CustomerGateway] ,100000,kbps,5594816,B,540,100,,pnqm,500,messages per second,51,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_BroadwayLLC/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_BroadwayLLC] -> [CustomerGateway] ,100000,kbps,12480,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_CLine/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_CLine] -> [CustomerGateway] ,100000,kbps,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_Clearborn/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_Clearborn] -> [CustomerGateway] ,100000,kbps,11754,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_DarkCross/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_DarkCross] -> [CustomerGateway] ,100000,kbps,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_Excalibur/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_Excalibur] -> [CustomerGateway] ,100000,kbps,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_FlowCapital//London_CNE/CustomerGateway/,,,,,,[CUST_FlowCapital] -> London_CNE[CustomerGateway] ,100000,kbps,839592,B,60,100,,pnqm,1528,messages per second,64,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_GreenSyke/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_GreenSyke] -> [CustomerGateway] ,100000,kbps,62402,B,0,100,,pnqm,1,messages per second,1,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_HedgeFuture/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_HedgeFuture] -> [CustomerGateway] ,100000,kbps,1164678,B,50,100,,pnqm,200,messages per second,10,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_JJR-inc/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_JJR-inc] -> [CustomerGateway] ,100000,kbps,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_LaSalle/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_LaSalle] -> [CustomerGateway] ,100000,kbps,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_MapleGroup/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_MapleGroup] -> [CustomerGateway] ,100000,kbps,53561,B,100,100,,pnqm,50,messages per second,2,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_NP-Trading/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_NP-Trading] -> [CustomerGateway] ,100000,kbps,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_Optnet/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_Optnet] -> [CustomerGateway] ,100000,kbps,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_RJC-Partners/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_RJC-Partners] -> [CustomerGateway] ,100000,kbps,1544448,B,50,100,,pnqm,300,messages per second,16,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_RiteNote/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_RiteNote] -> [CustomerGateway] ,100000,kbps,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_SchwartzCap//London_CNE/CustomerGateway/,,,,,,[CUST_SchwartzCap] -> London_CNE[CustomerGateway] ,100000,kbps,467844,B,10,100,,pnqm,900,messages per second,40,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_Securitize/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_Securitize] -> [CustomerGateway] ,100000,kbps,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_SorrinPtnrs/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_SorrinPtnrs] -> [CustomerGateway] ,100000,kbps,50355,B,10,100,,pnqm,300,messages per second,10,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_TertiarLLC/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_TertiarLLC] -> [CustomerGateway] ,100000,kbps,35720,B,0,100,,pnqm,1,messages per second,1,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_Ukemi/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_Ukemi] -> [CustomerGateway] ,100000,kbps,845705,B,650,100,,pnqm,1528,messages per second,64,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_WallCity/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_WallCity] -> [CustomerGateway] ,100000,kbps,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_WhiteLine/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_WhiteLine] -> [CustomerGateway] ,100000,kbps,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_Xtense/London_CNE//CustomerGateway/,,,,,,London_CNE[CUST_Xtense] -> [CustomerGateway] ,100000,kbps,0,B,0,100,,pnqm,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CUST_YTrade//London_CNE/CustomerGateway/,,,,,,[CUST_YTrade] -> London_CNE[CustomerGateway] ,100000,kbps,126961,B,50,100,,pnqm,50,messages per second,3,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUSTOMERS/PlantLatency,,,,,,London_CNE[CUSTOMERS] <- [CustomerGateway] PlantLatency,100000,kbps,16814224,B,60,100,,pnqm,10550,messages per second,763,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_AlphaChase/,,,,,,London_CNE[CUST_AlphaChase] <- [CustomerGateway] ,100000,kbps,413503,B,-1,100,,none,3700,messages per second,150,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_Arco/,,,,,,London_CNE[CUST_Arco] <- [CustomerGateway] ,100000,kbps,900434,B,-1,100,,none,300,messages per second,19,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_BlaiseCapital/,,,,,,London_CNE[CUST_BlaiseCapital] <- [CustomerGateway] ,100000,kbps,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_BriteEdge/,,,,,,London_CNE[CUST_BriteEdge] <- [CustomerGateway] ,100000,kbps,6287861,B,-1,100,,none,3900,messages per second,215,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_BroadwayLLC/,,,,,,London_CNE[CUST_BroadwayLLC] <- [CustomerGateway] ,100000,kbps,48352,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_CLine/,,,,,,London_CNE[CUST_CLine] <- [CustomerGateway] ,100000,kbps,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_Clearborn/,,,,,,London_CNE[CUST_Clearborn] <- [CustomerGateway] ,100000,kbps,44771,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_DarkCross/,,,,,,London_CNE[CUST_DarkCross] <- [CustomerGateway] ,100000,kbps,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_Excalibur/,,,,,,London_CNE[CUST_Excalibur] <- [CustomerGateway] ,100000,kbps,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_GreenSyke/,,,,,,London_CNE[CUST_GreenSyke] <- [CustomerGateway] ,100000,kbps,150076,B,-1,100,,none,4550,messages per second,111,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_HedgeFuture/,,,,,,London_CNE[CUST_HedgeFuture] <- [CustomerGateway] ,100000,kbps,2343512,B,-1,100,,none,5050,messages per second,171,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_JJR-inc/,,,,,,London_CNE[CUST_JJR-inc] <- [CustomerGateway] ,100000,kbps,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_LaSalle/,,,,,,London_CNE[CUST_LaSalle] <- [CustomerGateway] ,100000,kbps,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_MapleGroup/,,,,,,London_CNE[CUST_MapleGroup] <- [CustomerGateway] ,100000,kbps,65197,B,-1,100,,none,200,messages per second,10,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_NP-Trading/,,,,,,London_CNE[CUST_NP-Trading] <- [CustomerGateway] ,100000,kbps,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_Optnet/,,,,,,London_CNE[CUST_Optnet] <- [CustomerGateway] ,100000,kbps,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_RJC-Partners/,,,,,,London_CNE[CUST_RJC-Partners] <- [CustomerGateway] ,100000,kbps,3111272,B,-1,100,,none,6100,messages per second,381,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_RiteNote/,,,,,,London_CNE[CUST_RiteNote] <- [CustomerGateway] ,100000,kbps,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_Securitize/,,,,,,London_CNE[CUST_Securitize] <- [CustomerGateway] ,100000,kbps,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_SorrinPtnrs/,,,,,,London_CNE[CUST_SorrinPtnrs] <- [CustomerGateway] ,100000,kbps,56745,B,-1,100,,none,450,messages per second,15,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_TertiarLLC/,,,,,,London_CNE[CUST_TertiarLLC] <- [CustomerGateway] ,100000,kbps,30304,B,-1,100,,none,1,messages per second,1,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_Ukemi/,,,,,,London_CNE[CUST_Ukemi] <- [CustomerGateway] ,100000,kbps,2085930,B,-1,100,,none,210,messages per second,33,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_WallCity/,,,,,,London_CNE[CUST_WallCity] <- [CustomerGateway] ,100000,kbps,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_WhiteLine/,,,,,,London_CNE[CUST_WhiteLine] <- [CustomerGateway] ,100000,kbps,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/CUST_Xtense/,,,,,,London_CNE[CUST_Xtense] <- [CustomerGateway] ,100000,kbps,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/XCapital-01/XCapital-1,,,,,,London_CNE[XCapital-01] <- [CustomerGateway] XCapital-1,100000,kbps,116117,B,-1,100,,none,550,messages per second,18,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway//London_CNE/XCapital-02/XCapital-2,,,,,,London_CNE[XCapital-02] <- [CustomerGateway] XCapital-2,100000,kbps,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway/London_CNE//CUSTOMERS/Client%20Responses,,,,,,London_CNE[CustomerGateway] -> [CUSTOMERS] Client Responses,0,kbps,8420981,B,-1,100,,none,700,messages per second,52,messages per second,none,TRUE,FALSE,,,,,,,,
channel/CustomerGateway/London_CNE//CUSTOMERS/OrderLatency,,,,,,[CUSTOMERS] <- London_CNE[CustomerGateway] OrderLatency,100000,kbps,16814224,B,-1,100,,none,10550,messages per second,763,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway/London_CNE//CUST_AlgoSpeed/,,,,,,[CUST_AlgoSpeed] <- London_CNE[CustomerGateway] ,100000,kbps,6423396,B,-1,100,,none,10550,messages per second,757,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway/London_CNE//CUST_Bergman/,,,,,,[CUST_Bergman] <- London_CNE[CustomerGateway] ,100000,kbps,7870097,B,-1,100,,none,600,messages per second,50,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway/London_CNE//CUST_Bergman/TrafficGaps,,,,,,[CUST_Bergman] <- London_CNE[CustomerGateway] TrafficGaps,100000,kbps,7870097,B,10,100,,tcp,1008,kbps,127,kbps,none,FALSE,TRUE,100000,kbps,0,%,100,kbps,59,kbps
channel/CustomerGateway/London_CNE//CUST_Bergman/TrafficGaps-BusinessHours,,,,,,[CUST_Bergman] <- London_CNE[CustomerGateway] TrafficGaps-BusinessHours,100000,kbps,7870097,B,-1,100,,none,1008,kbps,127,kbps,none,FALSE,TRUE,100000,kbps,0,%,100,kbps,59,kbps
channel/CustomerGateway/London_CNE//CUST_FlowCapital/,,,,,,[CUST_FlowCapital] <- London_CNE[CustomerGateway] ,100000,kbps,2094126,B,-1,100,,none,210,messages per second,33,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway/London_CNE//CUST_SchwartzCap/,,,,,,[CUST_SchwartzCap] <- London_CNE[CustomerGateway] ,100000,kbps,426605,B,-1,100,,none,900,messages per second,39,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway/London_CNE//CUST_YTrade/,,,,,,[CUST_YTrade] <- London_CNE[CustomerGateway] ,100000,kbps,134861,B,-1,100,,none,200,messages per second,10,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/CustomerGateway/London_CNE//XCapital-03/XCapital-3,,,,,,[XCapital-03] <- London_CNE[CustomerGateway] XCapital-3,100000,kbps,0,B,-1,100,,none,0,messages per second,0,messages per second,none,TRUE,FALSE,100000,kbps,0,%,,,,
channel/DC_Chicago//London_CNE//,,,,,,London_CNE[any] <- [DC_Chicago] ,100000,kbps,265867023,B,100,100,,pnqm,10634,kbps,1265,kbps,none,FALSE,TRUE,100000,kbps,1,%,2614,kbps,1046,kbps
channel/DC_Chicago//London_CNE//%40Chicago,,,,,,London_CNE[any] <- [DC_Chicago] @Chicago,100000,kbps,265869309,B,-1,100,,none,36896,kbps,1276,kbps,none,FALSE,TRUE,100000,kbps,1,%,,,,
channel/DC_Frankfurt//London_CNE//,,,,,,London_CNE[any] <- [DC_Frankfurt] ,100000,kbps,7360035,B,50,100,,pnqm,22022,kbps,794,kbps,none,FALSE,TRUE,100000,kbps,0,%,16101,kbps,4173,kbps
channel/DC_Frankfurt//London_CNE//%40Frankfurt,,,,,,London_CNE[any] <- [DC_Frankfurt] @Frankfurt,100000,kbps,7360035,B,180,100,,tcp,24753,kbps,794,kbps,none,FALSE,TRUE,100000,kbps,0,%,,,,
channel/DC_NewJersey/NewJersey_CNE/London_CNE//,,,,,,London_CNE[any] <- NewJersey_CNE[DC_NewJersey] ,0,kbps,0,B,0,100,,tcp,0,kbps,0,kbps,none,FALSE,TRUE,,,,,0,kbps,0,kbps
channel/Eurex-EBS-A//London_CNE/FeedHandler/AvB_Latency,,,,,,[Eurex-EBS-A] -> London_CNE[FeedHandler] AvB_Latency,1000000,kbps,50646358,B,60,100,,pnqm,65552,kbps,2385,kbps,none,TRUE,TRUE,1000000,kbps,0,%,5441,kbps,5625,kbps
channel/Eurex-EBS-B//London_CNE/FeedHandler/,,,,,,[Eurex-EBS-B] -> London_CNE[FeedHandler] ,50000,kbps,50646358,B,-1,100,,none,49506,kbps,2366,kbps,none,TRUE,TRUE,50000,kbps,0,%,5405,kbps,5625,kbps
channel/Euronext-UTP-A/London_CNE///,,,,,,London_CNE[Euronext-UTP-A] -> [any] ,0,kbps,32035120,B,0,100,,tcp,15800,messages per second,843,messages per second,none,TRUE,FALSE,,,,,,,,
channel/FIX-CLIENTS/London_CNE//FIX-SERVERS/FIX-RTT,,,,,,London_CNE[FIX-CLIENTS] -> [FIX-SERVERS] FIX-RTT,0,kbps,23987196,B,9990,100,,pnqm,2849,messages per second,185,messages per second,none,TRUE,FALSE,,,,,,,,
channel/FIX-SERVERS//London_CNE/FIX-CLIENTS/FIX-RTT,,,,,,London_CNE[FIX-CLIENTS] <- [FIX-SERVERS] FIX-RTT,0,kbps,33628448,B,850,100,,tcp,21276,messages per second,1527,messages per second,none,TRUE,FALSE,,,,,,,,
