name,Usage,Packets received,Packets transmitted,Data receive rate,Data transmit rate,pNic Throughput Provisioned,pNic Throughput Usable,vNic Throughput Usage,vNic Throughput Contention,pNic Packets Received and Transmitted per Second,pNic Throughput Usage for VMs,pNic Throughput Usage for NFS,pNic Throughput Usage for vMotion,pNic Throughput Usage for FT,pNic Throughput Usage for iSCSI,pNic Throughput Usage for HBR,Receive packets dropped,Transmit packets dropped,Broadcast receives,Broadcast transmits,Multicast receives,Multicast transmits,Packet receive errors,Packet transmit errors,Unknown protocol frames,VDS transmitted packets throughput,VDS transmitted multicast packets throughput,VDS transmitted broadcast packets throughput,VDS received packets throughput,VDS received multicast packets throughput,VDS received broadcast packets throughput,VDS dropped transmitted packets throughput,VDS dropped received packets throughput,VDS port transmitted packets throughput,VDS port transmitted multicast packets throughput,VDS port transmitted broadcast packets throughput ,VDS port received packets throughput,VDS port received multicast packets throughput,VDS port received broadcast packets throughput,VDS port dropped transmitted packets throughput,VDS port dropped received packets throughput,LAG transmitted packets throughput,LAG transmitted multicast packets throughput,LAG transmitted broadcast packets throughput,LAG received packets throughput,LAG received multicast packets throughput,LAG received broadcast packets throughput,LAG dropped transmitted packets throughput,LAG dropped received packets throughput,VXLAN network transmitted packets throughput,VXLAN network transmitted non-unicast packets throughput,VXLAN network transmitted cross-router packets throughput,VXLAN network dropped transmitted packets throughput,VXLAN network received packets throughput,VXLAN network dropped received packets due to destination IP error throughput,VXLAN network dropped received packets throughput,VXLAN network failed to match mapping entry for a unicast MAC throughput,VXLAN network failed to allocate a new mapping entry during translation phase,VXLAN network failed to allocate a new mapping entry during learning phase,VXLAN network matching ARP entry throughput,VXLAN network matching ARP entry marked as unknown throughput,VXLAN network failed to allocate ARP entry during translation phase throughput,VXLAN network ARP requests already sent into queue throughput,VXLAN network expired ARP queries throughput
UCS Platform Emulator,0,0,0,0,0,,,,,,,,,,,,0,0,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCLP-MQ01,616,0,52548,343,272,,,,,,,,,,,,0,0,31,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGSSP-SQLDB02,0,0,0,0,0,,,,,,,,,,,,0,0,92,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSPSLRWNCMDB,1288,0,19473,1208,80,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSP-ACS01,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLEQAACWMBRP3,9,0,337,3,6,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLEQAACWMBRP4,8,0,308,2,5,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLEQAACWMBRP1,9,0,205,2,6,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGSSDSCOM01,0,0,3,0,0,,,,,,,,,,,,0,0,92,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLEQAACWMBRP2,11,0,217,5,6,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCARSA-SRV02,0,0,3,0,0,,,,,,,,,,,,0,0,22,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGSSDSCCM01,0,0,8,0,0,,,,,,,,,,,,0,0,92,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSWWJABNINET02,13,0,240,4,9,,,,,,,,,,,,0,0,33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJCLDTC01,0,0,0,0,0,,,,,,,,,,,,0,0,106,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSP-ECLXAPP01,0,0,0,0,0,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJCLDTC02,0,0,1,0,0,,,,,,,,,,,,0,0,106,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJSSPRNTSRV02,0,0,0,0,0,,,,,,,,,,,,0,0,85,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGCLU-TCDB01,0,0,14,0,0,,,,,,,,,,,,0,0,107,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGCLP-MQ02,0,0,0,0,0,,,,,,,,,,,,0,0,85,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJSSPJIRA01,0,0,28,0,0,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLWJAACWMBRU3,0,0,16,0,0,,,,,,,,,,,,0,0,92,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLWJAACWMBRU4,1,0,49,0,0,,,,,,,,,,,,0,0,92,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCLP-SLAP01,0,0,4,0,0,,,,,,,,,,,,0,0,31,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSP-DB01,0,0,22,0,0,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGMAD-AMG01-C1,0,0,35,0,0,,,,,,,,,,,,0,0,107,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGSSPCVCELL02,0,0,8,0,0,,,,,,,,,,,,0,0,85,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLEQAACWMISP4,0,0,3,0,0,,,,,,,,,,,,0,0,33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSPEXMBX01,628,0,5257,3,476,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLEQAACWMISP3,0,0,1,0,0,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLEQAACWMISP2,1964,0,34837,983,980,,,,,,,,,,,,0,0,33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSPEXMBX02,718,0,6612,39,272,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLEQAACWMISP1,1962,0,34759,981,980,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJCLPIDHDB02,0,0,5,0,0,,,,,,,,,,,,0,0,91,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
egssd-pocsan01,31,0,497,8,29,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJCLPIDHDB01,72,0,11443,39,33,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSVABNDEPMC01,0,0,2,0,0,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSVABNDEPMC05,16,0,448,12,3,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSU-DB01,0,0,1,0,0,,,,,,,,,,,,0,0,30,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCLP-IDSH01,0,0,0,0,0,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSPWSUS01,3,0,76,1,2,,,,,,,,,,,,0,0,33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSU-DB04,6,0,227,3,2,,,,,,,,,,,,0,0,28,3,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSU-DB03,0,0,2,0,0,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSU-DB02,1,0,45,0,0,,,,,,,,,,,,0,0,33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSPSCR01,0,0,8,0,0,,,,,,,,,,,,0,0,33,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCAMS-PXE01,3,0,265,2,1,,,,,,,,,,,,0,0,33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eqssd-pocvcs01,0,0,17,0,0,,,,,,,,,,,,0,0,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012Image-Do Not Delete,0,0,0,0,0,,,,,,,,,,,,0,0,33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGCLD-TC02,0,0,0,0,0,,,,,,,,,,,,0,0,85,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCAINF-MGMT01,0,0,0,0,0,,,,,,,,,,,,0,0,22,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGSSP-TFS02,0,0,0,0,0,,,,,,,,,,,,0,0,107,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCAATIS-SRV02,15,0,447,7,7,,,,,,,,,,,,0,0,49,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCAFS-HR02,0,0,9,0,0,,,,,,,,,,,,0,0,107,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSPSLRWNCM,1383,0,9834,207,1176,,,,,,,,,,,,0,0,33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCLP-IDSHPRL01,72,0,11332,35,36,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGCLU-MQ04,193,0,16465,108,85,,,,,,,,,,,,0,0,92,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCAME-PMP01,0,0,24,0,0,,,,,,,,,,,,0,0,19,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGCLP-TC04,0,0,1,0,0,,,,,,,,,,,,0,0,107,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSVABNSITWM01,16,0,541,3,13,,,,,,,,,,,,0,0,91,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSPTSS01,0,0,1,0,0,,,,,,,,,,,,0,0,31,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCAFS-HR01,0,0,17,0,0,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSVABNSITWM02,19,0,707,14,4,,,,,,,,,,,,0,0,106,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eqssd-pocsan01,31,0,305,0,1,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJSSWMDB01,2,0,51,2,0,,,,,,,,,,,,0,0,106,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSDSQL2012,0,0,2,0,0,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLWJAACWMBRU2,0,0,30,0,0,,,,,,,,,,,,0,0,92,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLWJAACWMBRU1,0,0,11,0,0,,,,,,,,,,,,0,0,92,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQCLP-TC03,0,0,0,0,0,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSPREDB02,0,0,2,0,0,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSPREDB01,707,0,1626,37,669,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSPCONF01,0,0,1,0,0,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSP-EXMBX02,0,0,0,0,0,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVWJABNCONF,7,0,579,2,4,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGMAD-AMG01,0,0,39,0,0,,,,,,,,,,,,0,0,106,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCADEV-SQL01,0,0,29,0,0,,,,,,,,,,,,0,0,86,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJSSPDC04,448,0,1373,23,425,,,,,,,,,,,,0,0,81,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eqssd-pocsrm01,0,0,5,0,0,,,,,,,,,,,,0,0,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGSSD-DBASQL02,929,0,10235,849,80,,,,,,,,,,,,0,0,78,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSP-RPTDB01,0,0,0,0,0,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVWJABNGPSQL02,0,0,4,0,0,,,,,,,,,,,,0,0,92,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJSSPUBSTR01,0,0,6,0,0,,,,,,,,,,,,0,0,85,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLWJAACWMGNU2,4,0,161,2,2,,,,,,,,,,,,0,0,92,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLWJAACWMGNU1,3,0,68,1,1,,,,,,,,,,,,0,0,92,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVWJABNMHSQL02,1,0,34,1,0,,,,,,,,,,,,0,0,107,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSP-HPSIM01,220,0,5586,166,54,,,,,,,,,,,,0,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGSSP-PRNT01,52,0,1153,27,24,,,,,,,,,,,,0,0,32,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCACL-IDASH01-U,0,0,0,0,0,,,,,,,,,,,,0,0,81,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGCLP-SLAP02,0,0,1,0,0,,,,,,,,,,,,0,0,107,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJCLDTCDB01,1,0,144,1,0,,,,,,,,,,,,0,0,92,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLWJAACWMISU2,14,0,323,7,6,,,,,,,,,,,,0,0,106,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLWJAACWMISU1,12,0,279,6,5,,,,,,,,,,,,0,0,92,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLWJAACWMISU4,1,0,44,0,0,,,,,,,,,,,,0,0,92,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVLWJAACWMISU3,39,0,2655,19,20,,,,,,,,,,,,0,0,107,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGSSP-BB02,13,0,324,10,3,,,,,,,,,,,,0,0,106,1,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGSSP-FS01,0,0,0,0,0,,,,,,,,,,,,0,0,92,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USSWEQABNTCDEV1,0,0,20,0,0,,,,,,,,,,,,0,0,81,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSPDC05,3517,0,3778,103,3414,,,,,,,,,,,,0,0,27,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGSSP-DHCP01,3,0,130,1,1,,,,,,,,,,,,0,0,33,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCACL-IDASH01,16564,0,57434,14397,2166,,,,,,,,,,,,0,0,80,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USVWEGAACWMDB04,0,0,0,0,0,,,,,,,,,,,,0,0,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WJCLDIDASH01,0,0,2,0,0,,,,,,,,,,,,0,0,106,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EQSSPDC03,2851,0,2772,85,2765,,,,,,,,,,,,0,0,26,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
