AppType,Instance,Current Volume,Last Trading Day's Volume,Percent Change from Last Trading Day,EOD Projection,Historical High,Percent Change from Historical High,Current Component Percentage,Last Trading Day's Component Percentage,ComponentThreshold
MA,EUX_AXP_1,6144,6793,-9.55,7692,7422,-67.53,2.46,0.08,250000,
MA,EUX_DMA_1,197,163,20.86,248,7747,-96.66,0.00,0.00,250000,
MA,EUX_QSA_1,14,10,40.00,23,849,-97.29,0.01,0.01,250000,
OM,OM.QSASORT.1,8824,8483,4.02,14802,24467,-39.50,5.88,9.49,150000,
MA,VIE_AXP_1,18317,19482,-5.98,22236,4943,-80.57,7.33,1.30,250000,
MA,VIE_DMA_1,1955,2573,-24.02,2469,4155,-50.05,0.78,0.06,250000,
OM,OM.QSA.2,14831,15092,-1.73,21065,218165,-90.34,9.89,14.29,150000,
FR,FE_DMA_HR_GSAFN_1,25125,28458,-11.71,32268,89280,-63.86,1.68,2.44,1500000,
XFM,XFM_PAIRS,96,68,41.18,104,304,-65.79,0.03,0.02,300000,
OM,OM.QSAHF.2,2864,2467,16.09,14340,154165,-91.55,1.91,43.85,150000,
MA,ENX_DMA_1,12192,18968,-35.72,15306,44111,-76.31,4.88,11.23,250000,
MA,XET_QSA_1,16631,17605,-5.53,22342,114460,-80.48,6.65,9.46,250000,
MA,XET_DMA_1,1307,1135,15.15,1956,67659,-97.11,0.52,0.68,250000,
OM,OM.QSAHF.5,57401,57385,0.03,65792,206884,-57.32,38.27,45.03,150000,
MA,XET_DMA_2,117,132,-11.36,1504,8459,-82.22,0.15,2.11,250000,
FR,FE_DMA_HR_QLB_1,5044,227,2122.03,7888,1570,402.42,0.34,0.02,1500000,
OM,HR_OM_DMA_LSE_1,58726,58864,-0.23,67381,38910,-67.43,39.15,15.88,150000,
MA,JSE_DMA_1,1614,1315,22.74,2085,29368,-96.92,0.65,4.01,250000,
SORT,SOR_ETT_BETA_EURO,5978,3332,79.41,9280,61198,-84.84,7.47,6.47,80000,
OM,HR_CHIX_DMA_1,12157,18821,-35.41,15382,40216,-60.47,8.10,15.06,150000,
MA,LSE_DMAHR_1,1269,2673,-52.53,2499,64598,-70.46,0.51,9.53,250000,
