HostName,TaskName,Next Run Time,Status,Logon Mode,Last Run Time,Last Result,Author,Task To Run,Start In,Comment,Scheduled Task State,Idle Time,Run As User,Stop Task If Runs X Hours and X Mins,Schedule Type,Start Time,Start Date,End Date,Days,Months,Repeat
TPAD37_duplicate11,\Synaptics TouchPad Enhancements,N/A,Running,Interactive/Background,7/25/2013 11:35,267009,Synaptics Inc.,\Program Files\Synaptics\SynTP\SynTPEnh.exe,N/A,N/A,Enabled,Disabled,Users,Disabled,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate12,\Lenovo\Lenovo Customer Feedback Program,7/30/2013 12:11,Ready,Interactive/Background,7/29/2013 12:33,0,Lenovo,%ProgramFiles%\Lenovo\Customer Feedback Program\Lenovo.TVT.CustomerFeedback.Agent.exe,%ProgramFiles%\Lenovo\Customer Feedback Program,This task uploads Customer Feedback Program data to Lenovo,Enabled,Disabled,Users,1:00:00,Daily,12:00:00 PM,5/15/2011,N/A,Every 1 day(s),N/A,Stop If Still Running:        Disabled
TPAD37_duplicate13,\Lenovo\Lenovo Solution Center Launcher,N/A,Unknown,Interactive/Background,7/30/2013 8:58,0,Lenovo,%programfiles%\lenovo\lenovo solution center\App\LSCService.exe Actions UpdateStatus,%programfiles%\lenovo\lenovo solution center,N/A,Enabled,Disabled,Users,Disabled,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate14,\Lenovo\Message Center Plus Launcher,N/A,Running,Interactive/Background,7/25/2013 11:37,267009,Lenovo,%programfiles(x86)%\Lenovo\message center plus\mcplaunch.exe /start,N/A,N/A,Enabled,Disabled,Users,Disabled,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate15,\Lenovo\LSC\LSCHardwareScan,8/9/2013 22:21,Ready,Interactive/Background,7/10/2013 8:50,0,LenovoSolutionCenter,C:\Program Files\Lenovo\Lenovo Solution Center\LSC.exe -diag HWScan,N/A,LSCHardwareScan,Enabled,Disabled,Users,72:00:00,Monthly,10:21:26 PM,7/9/2013,N/A,9,Every month,Stop If Still Running:        Disabled
TPAD37_duplicate16,\Lenovo\SimpleTap\Start SimpleTap for LDN.ckrimmel,Disabled,,Interactive only,N/A,1,Lenovo,%programfiles%\Lenovo\SimpleTap\SimpleTap.exe /watermark,%programfiles%\Lenovo\SimpleTap,Run SimpleTap at startup,Disabled,Disabled,LDN\ckrimmel,Disabled,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate17,\Lenovo\SimpleTap\Start SimpleTap for tpad37.ckrimmel,Disabled,,Interactive only,5/10/2013 11:16,1073807364,Lenovo,%programfiles%\Lenovo\SimpleTap\SimpleTap.exe /watermark,%programfiles%\Lenovo\SimpleTap,Run SimpleTap at startup,Disabled,Disabled,tpad37\ckrimmel,Disabled,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate18,\Microsoft\Microsoft Antimalware\Microsoft Antimalware Scheduled Scan,7/31/2013 21:40,Ready,Interactive/Background,N/A,1,N/A,c:\Program Files\Microsoft Security Client\MpCmdRun.exe Scan -ScheduleJob -RestrictPrivileges,N/A,Periodic scan task.,Enabled,Only Start If Idle for 1 minutes; If Not Idle Retry For 240 minutes,SYSTEM,72:00:00,Weekly,9:40:51 PM,1/1/2000,1/1/2100,WED,Every 1 week(s),Stop If Still Running:        Disabled
TPAD37_duplicate19,\Microsoft\Office\Office 15 Subscription Heartbeat,7/31/2013 0:17,Ready,Interactive/Background,7/30/2013 8:58,0,Microsoft Office,%ProgramFiles%\Common Files\Microsoft Shared\Office15\OLicenseHeartbeat.exe,N/A,Task used to ensure that the Microsoft Office Subscription licensing is current.,Enabled,Disabled,SYSTEM,4:00:00,Daily,12:00:00 AM,1/1/2010,N/A,Every 1 day(s),N/A,Stop If Still Running:        Disabled
TPAD37_duplicate20,\Microsoft\Office\OfficeTelemetryAgentFallBack,N/A,Unknown,Interactive/Background,7/30/2013 8:58,0,N/A,C:\Program Files\Microsoft Office\Office15\msoia.exe scan upload mininterval:2880,N/A,This task initiates the background task for Office Telemetry Agent; which scans and uploads usage and error information for Office solutions.,Enabled,Disabled,Users,Disabled,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate21,\Microsoft\Office\OfficeTelemetryAgentLogOn,N/A,Unknown,Interactive/Background,7/30/2013 8:58,0,N/A,C:\Program Files\Microsoft Office\Office15\msoia.exe scan upload,N/A,This task initiates Office Telemetry Agent; which scans and uploads usage and error information for Office solutions when a user logs on to the computer.,Enabled,Disabled,Users,Disabled,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate22,\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated),Disabled,,Interactive/Background,N/A,1,Microsoft Corporation,COM handler,N/A,Updates the AD RMS rights policy templates for the user. This job does not provide a credential prompt if authentication to the template distribution web service on the server fails. In this case; it fails silently.,Disabled,Disabled,Everyone,1:00:00,Daily,3:00:00 AM,11/9/2006,N/A,Every 1 day(s),N/A,Stop If Still Running:        Disabled
TPAD37_duplicate23,\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Automated),Disabled,,Interactive/Background,N/A,1,Microsoft Corporation,COM handler,N/A,Updates the AD RMS rights policy templates for the user. This job does not provide a credential prompt if authentication to the template distribution web service on the server fails. In this case; it fails silently.,Disabled,Disabled,Everyone,1:00:00,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate24,\Microsoft\Windows\Active Directory Rights Management Services Client\AD RMS Rights Policy Template Management (Manual),N/A,Ready,Interactive/Background,N/A,1,Microsoft Corporation,COM handler,N/A,Updates the AD RMS rights policy templates for the user. This job provides a credential prompt if authentication to the template distribution web service on the server fails.,Enabled,Disabled,Everyone,1:00:00,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate25,\Microsoft\Windows\AppID\PolicyConverter,Disabled,,Interactive/Background,N/A,1,Microsoft Corporation,%windir%\system32\appidpolicyconverter.exe,N/A,Converts the software restriction policies policy from XML into binary format.,Disabled,Disabled,LOCAL SERVICE,72:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate26,\Microsoft\Windows\AppID\VerifiedPublisherCertStoreCheck,Disabled,,Interactive/Background,N/A,1,Microsoft Corporation,%windir%\system32\appidcertstorecheck.exe,N/A,Inspects the AppID certificate cache for invalid or revoked certificates.,Disabled,Only Start If Idle for 3 minutes; If Not Idle Retry For 1380 minutes Stop the task if Idle State end,LOCAL SERVICE,72:00:00,At system start up,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate27,\Microsoft\Windows\Application Experience\AitAgent,7/31/2013 2:30,Unknown,Interactive/Background,7/18/2013 2:30,0,Microsoft Corporation,aitagent,N/A,Aggregates and uploads Application Telemetry information if opted-in to the Microsoft Customer Experience Improvement Program.,Enabled,Only Start If Idle for 3 minutes; If Not Idle Retry For 1320 minutes Stop the task if Idle State end,SYSTEM,72:00:00,Daily,2:30:00 AM,10/8/2007,N/A,Every 1 day(s),N/A,Stop If Still Running:        Disabled
TPAD37_duplicate28,\Microsoft\Windows\Application Experience\ProgramDataUpdater,7/31/2013 0:30,Unknown,Interactive/Background,7/18/2013 0:30,0,Microsoft Corporation,%windir%\system32\rundll32.exe aepdu.dll;AePduRunUpdate,N/A,Collects program telemetry information if opted-in to the Microsoft Customer Experience Improvement Program,Enabled,Only Start If Idle for 3 minutes; If Not Idle Retry For 1380 minutes Stop the task if Idle State end,SYSTEM,72:00:00,Daily,12:30:00 AM,10/8/2007,N/A,Every 1 day(s),N/A,Stop If Still Running:        Disabled
TPAD37_duplicate29,\Microsoft\Windows\Autochk\Proxy,N/A,Unknown,Interactive/Background,7/16/2013 16:59,0,Microsoft Corporation,%windir%\system32\rundll32.exe /d acproxy.dll;PerformAutochkOperations,N/A,This task collects and uploads autochk SQM data if opted-in to the Microsoft Customer Experience Improvement Program.,Enabled,Only Start If Idle for 10 minutes; If Not Idle Retry For 525600 minutes,LOCAL SERVICE,72:00:00,At system start up,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate30,\Microsoft\Windows\Bluetooth\UninstallDeviceTask,N/A,Ready,Interactive/Background,N/A,1,Microsoft,BthUdTask.exe $(Arg0),N/A,Uninstalls the PnP device associated with the specified Bluetooth service ID,Enabled,Disabled,SYSTEM,72:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate31,\Microsoft\Windows\CertificateServicesClient\SystemTask,N/A,Ready,Interactive/Background,7/29/2013 13:47,0,Microsoft Corporation,COM handler,N/A,Certificate Services Client automatically manages digital identities such as Certificates; Keys and Credentials for the users and the machine; enabling enrollment; roaming and other services.,Enabled,Disabled,SYSTEM,Disabled,When an event occurs,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate32,\Microsoft\Windows\CertificateServicesClient\SystemTask,N/A,Ready,Interactive/Background,7/29/2013 13:47,0,Microsoft Corporation,COM handler,N/A,Certificate Services Client automatically manages digital identities such as Certificates; Keys and Credentials for the users and the machine; enabling enrollment; roaming and other services.,Enabled,Disabled,SYSTEM,Disabled,At system start up,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate33,\Microsoft\Windows\CertificateServicesClient\SystemTask,N/A,Ready,Interactive/Background,7/29/2013 13:47,0,Microsoft Corporation,COM handler,N/A,Certificate Services Client automatically manages digital identities such as Certificates; Keys and Credentials for the users and the machine; enabling enrollment; roaming and other services.,Enabled,Disabled,SYSTEM,Disabled,At system start up,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate34,\Microsoft\Windows\CertificateServicesClient\UserTask,N/A,Ready,Interactive/Background,7/29/2013 13:47,0,Microsoft Corporation,COM handler,N/A,Certificate Services Client automatically manages digital identities such as Certificates; Keys and Credentials for the users and the machine; enabling enrollment; roaming and other services.,Enabled,Disabled,INTERACTIVE,Disabled,When an event occurs,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate35,\Microsoft\Windows\CertificateServicesClient\UserTask,N/A,Ready,Interactive/Background,7/29/2013 13:47,0,Microsoft Corporation,COM handler,N/A,Certificate Services Client automatically manages digital identities such as Certificates; Keys and Credentials for the users and the machine; enabling enrollment; roaming and other services.,Enabled,Disabled,INTERACTIVE,Disabled,At system start up,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate36,\Microsoft\Windows\CertificateServicesClient\UserTask,N/A,Ready,Interactive/Background,7/29/2013 13:47,0,Microsoft Corporation,COM handler,N/A,Certificate Services Client automatically manages digital identities such as Certificates; Keys and Credentials for the users and the machine; enabling enrollment; roaming and other services.,Enabled,Disabled,INTERACTIVE,Disabled,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate37,\Microsoft\Windows\CertificateServicesClient\UserTask-Roam,Disabled,,Interactive/Background,N/A,1,Microsoft Corporation,COM handler,N/A,Certificate Services Client automatically manages digital identities such as Certificates; Keys and Credentials for the users and the machine; enabling enrollment; roaming and other services.,Disabled,Disabled,INTERACTIVE,Disabled,When an event occurs,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate38,\Microsoft\Windows\CertificateServicesClient\UserTask-Roam,Disabled,,Interactive/Background,N/A,1,Microsoft Corporation,COM handler,N/A,Certificate Services Client automatically manages digital identities such as Certificates; Keys and Credentials for the users and the machine; enabling enrollment; roaming and other services.,Disabled,Disabled,INTERACTIVE,Disabled,When an event occurs,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate40,\Microsoft\Windows\Customer Experience Improvement Program\KernelCeipTask,8/1/2013 3:30,Ready,Interactive/Background,7/18/2013 3:30,0,Microsoft Corporation,COM handler,N/A,The Kernel CEIP (Customer Experience Improvement Program) task collects additional information about the system and sends this data to Microsoft.  If the user has not consented to participate in Windows CEIP; this task does nothing.,Enabled,Only Start If Idle for 3 minutes; If Not Idle Retry For 1020 minutes,LOCAL SERVICE,72:00:00,Weekly,3:30:00 AM,9/1/2008,N/A,THU,Every 1 week(s),Stop If Still Running:        Disabled
TPAD37_duplicate41,\Microsoft\Windows\Customer Experience Improvement Program\UsbCeip,7/31/2013 1:30,Ready,Interactive/Background,7/28/2013 11:49,0,Microsoft Corporation,COM handler,N/A,The USB CEIP (Customer Experience Improvement Program) task collects Universal Serial Bus related statistics and information about your machine and sends it to the Windows Device Connectivity engineering group at Microsoft.  The information received is,Enabled,Disabled,LOCAL SERVICE,72:00:00,Daily,1:30:00 AM,4/25/2008,N/A,Every 3 day(s),N/A,Stop If Still Running:        Disabled
TPAD37_duplicate42,\Microsoft\Windows\Defrag\ScheduledDefrag,Disabled,,Interactive/Background,N/A,1,Microsoft Corporation,%windir%\system32\defrag.exe -c,N/A,This task defragments the computers hard disk drives.,Disabled,Only Start If Idle for 3 minutes; If Not Idle Retry For 10080 minutes Stop the task if Idle State end,SYSTEM,72:00:00,Weekly,1:00:00 AM,5/11/2013,N/A,WED,Every 1 week(s),Stop If Still Running:        Disabled
TPAD37_duplicate43,\Microsoft\Windows\Diagnosis\Scheduled,8/4/2013 1:00,Ready,Interactive/Background,7/15/2013 11:42,0,Microsoft Corporation,COM handler,N/A,The Windows Scheduled Maintenance Task performs periodic maintenance of the computer system by fixing problems automatically or reporting them through the Action Center.,Enabled,Only Start If Idle for 10 minutes; If Not Idle Retry For 480 minutes,INTERACTIVE,72:00:00,Weekly,1:00:00 AM,1/1/2004,N/A,SUN,Every 1 week(s),Stop If Still Running:        Disabled
TPAD37_duplicate44,\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticDataCollector,Disabled,,Interactive/Background,5/12/2013 6:09,0,Microsoft Corporation,%windir%\system32\rundll32.exe dfdts.dll;DfdGetDefaultPolicyAndSMART,N/A,The Windows Disk Diagnostic reports general disk and system information to Microsoft for users participating in the Customer Experience Program.,Disabled,Only Start If Idle for  minutes; If Not Idle Retry For  minutes,SYSTEM,72:00:00,Weekly,1:00:00 AM,1/1/2004,N/A,SUN,Every 2 week(s),Stop If Still Running:        Disabled
TPAD37_duplicate45,\Microsoft\Windows\DiskDiagnostic\Microsoft-Windows-DiskDiagnosticResolver,Disabled,,Interactive/Background,N/A,1,Microsoft Corporation,%windir%\system32\DFDWiz.exe,N/A,The Microsoft-Windows-DiskDiagnosticResolver warns users about faults reported by hard disks that support the Self Monitoring and Reporting Technology (S.M.A.R.T.) standard. This task is triggered automatically by the Diagnostic Policy Service when a S.,Disabled,Disabled,Users,72:00:00,At logon time,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate46,\Microsoft\Windows\Location\Notifications,N/A,Ready,Interactive/Background,N/A,1,N/A,%windir%\System32\LocationNotifications.exe,N/A,Location Activity,Enabled,Disabled,Authenticated Users,Disabled,When an event occurs,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate47,\Microsoft\Windows\Maintenance\WinSAT,8/4/2013 1:00,Ready,Interactive/Background,7/28/2013 11:49,0,Microsoft,COM handler,N/A,Measures a system's performance and capabilities,Enabled,Only Start If Idle for  minutes; If Not Idle Retry For  minutes Stop the task if Idle State end,Administrators,Disabled,Weekly,1:00:00 AM,1/1/2008,N/A,SUN,Every 1 week(s),Stop If Still Running:        Disabled
TPAD37_duplicate48,\Microsoft\Windows\Media Center\ActivateWindowsSearch,N/A,Ready,Interactive/Background,N/A,1,N/A,%SystemRoot%\ehome\ehPrivJob.exe /DoActivateWindowsSearch,N/A,Privileged Media Center Search Reindexing job,Enabled,Disabled,SYSTEM,72:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate49,\Microsoft\Windows\Media Center\ConfigureInternetTimeService,N/A,Ready,Interactive/Background,N/A,1,N/A,%SystemRoot%\ehome\ehPrivJob.exe /DoConfigureInternetTimeService,N/A,Privileged Media Center Time Update Service setting job,Enabled,Disabled,SYSTEM,72:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate50,\Microsoft\Windows\Media Center\DispatchRecoveryTasks,N/A,Ready,Interactive/Background,N/A,1,N/A,%SystemRoot%\ehome\ehPrivJob.exe /DoRecoveryTasks $(Arg0),N/A,Privileged Media Center Recovery Task Dispatcher job,Enabled,Disabled,SYSTEM,72:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate51,\Microsoft\Windows\Media Center\ehDRMInit,N/A,Ready,Interactive/Background,N/A,1,N/A,%SystemRoot%\ehome\ehPrivJob.exe /DRMInit,N/A,Privileged Media Center DRM initialization job,Enabled,Disabled,LOCAL SERVICE,72:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate52,\Microsoft\Windows\Media Center\InstallPlayReady,N/A,Ready,Interactive/Background,N/A,1,N/A,%SystemRoot%\ehome\ehPrivJob.exe /InstallPlayReady $(Arg0),N/A,Privileged Media Center PlayReady install job,Enabled,Disabled,SYSTEM,72:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate53,\Microsoft\Windows\Media Center\mcupdate,N/A,Ready,Interactive/Background,N/A,1,N/A,%SystemRoot%\ehome\mcupdate $(Arg0),N/A,Check for Media Center updates.,Enabled,Disabled,NETWORK SERVICE,72:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate54,\Microsoft\Windows\Media Center\MediaCenterRecoveryTask,N/A,Ready,Interactive/Background,N/A,1,N/A,Multiple actions,Multiple actions,Perform Media Center Recovery activities,Enabled,Disabled,SYSTEM,72:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate55,\Microsoft\Windows\Media Center\ObjectStoreRecoveryTask,N/A,Ready,Interactive/Background,N/A,1,N/A,Multiple actions,Multiple actions,Perform Object Store Recovery activities,Enabled,Disabled,NETWORK SERVICE,72:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate56,\Microsoft\Windows\Media Center\OCURActivate,N/A,Ready,Interactive/Background,N/A,1,N/A,%SystemRoot%\ehome\ehPrivJob.exe /OCURActivate,N/A,Privileged Media Center OCUR activation job,Enabled,Disabled,SYSTEM,72:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate57,\Microsoft\Windows\Media Center\OCURDiscovery,N/A,Ready,Interactive/Background,N/A,1,N/A,%SystemRoot%\ehome\ehPrivJob.exe /OCURDiscovery $(Arg0),N/A,Privileged Media Center OCUR discovery job,Enabled,Disabled,SYSTEM,72:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate58,\Microsoft\Windows\Media Center\PBDADiscovery,N/A,Ready,Interactive/Background,N/A,1,N/A,%SystemRoot%\ehome\ehPrivJob.exe /PBDADiscovery,N/A,Privileged Media Center OCUR discovery job,Enabled,Disabled,SYSTEM,72:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate59,\Microsoft\Windows\Media Center\PBDADiscoveryW1,N/A,Ready,Interactive/Background,N/A,1,N/A,%SystemRoot%\ehome\ehPrivJob.exe /wait:7 /PBDADiscovery,N/A,Privileged Media Center OCUR discovery job,Enabled,Disabled,SYSTEM,1:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate60,\Microsoft\Windows\Media Center\PBDADiscoveryW2,N/A,Ready,Interactive/Background,N/A,1,N/A,%SystemRoot%\ehome\ehPrivJob.exe /wait:90 /PBDADiscovery,N/A,Privileged Media Center OCUR discovery job,Enabled,Disabled,SYSTEM,1:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate61,\Microsoft\Windows\Media Center\PeriodicScanRetry,Disabled,,Interactive/Background,N/A,1,N/A,%windir%\ehome\MCUpdate.exe -pscn 0,N/A,Background periodic scanner - PeriodicScanRetry,Disabled,Disabled,NETWORK SERVICE,72:00:00,One Time Only,5:33:00 PM,9/9/2006,N/A,N/A,N/A,Stop If Still Running:        Disabled
TPAD37_duplicate62,\Microsoft\Windows\Media Center\PvrRecoveryTask,N/A,Ready,Interactive/Background,N/A,1,N/A,Multiple actions,Multiple actions,Perform Pvr Recovery activities,Enabled,Disabled,NETWORK SERVICE,72:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate63,\Microsoft\Windows\Media Center\PvrScheduleTask,N/A,Ready,Interactive/Background,N/A,1,N/A,Multiple actions,Multiple actions,Perform PVR Scheduling activities,Enabled,Disabled,NETWORK SERVICE,72:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate64,\Microsoft\Windows\Media Center\RecordingRestart,Disabled,,Interactive/Background,N/A,1,N/A,%SystemRoot%\ehome\ehrec /RestartRecording,N/A,Restarts recordings after a power failure.,Disabled,Disabled,NETWORK SERVICE,72:00:00,At system start up,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate65,\Microsoft\Windows\Media Center\RegisterSearch,N/A,Ready,Interactive/Background,N/A,1,N/A,%SystemRoot%\ehome\ehPrivJob.exe /DoRegisterSearch $(Arg0),N/A,Privileged Media Center Search registration job,Enabled,Disabled,SYSTEM,72:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate66,\Microsoft\Windows\Media Center\ReindexSearchRoot,N/A,Ready,Interactive/Background,N/A,1,N/A,%SystemRoot%\ehome\ehPrivJob.exe /DoReindexSearchRoot,N/A,Privileged Media Center Search Reindexing job,Enabled,Disabled,SYSTEM,72:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
TPAD37_duplicate67,\Microsoft\Windows\Media Center\SqlLiteRecoveryTask,N/A,Ready,Interactive/Background,N/A,1,N/A,Multiple actions,Multiple actions,Perform Data Recovery activities,Enabled,Disabled,NETWORK SERVICE,72:00:00,On demand only,N/A,N/A,N/A,N/A,N/A,Stop If Still Running:        N/A
