queueName,queueType,queueClass,writerCount,readerCount,queueDepth,maxMsgCount,usedCapacity,totalCapacity,dateCreated,dateModified
DE.LN.TO.GL.ACK.01,Local queue,Custom,0,0,0,1000,0.00%,40000 MB,22/03/2008 12:34,26/05/2008 12:34
DE.NY.STG.01,Local queue,Custom,6,0,0,1000,0.00%,40000 MB,23/03/2008 12:34,27/05/2008 12:34
DE.NY.TO.GL.ACK.01,Local queue,Custom,2,0,0,1000,0.00%,40000 MB,24/03/2008 12:34,28/05/2008 12:34
GWA.TO.RON.RM5.TRD.R,Local queue,Custom,0,0,0,1000,0.00%,40000 MB,25/03/2008 12:34,29/05/2008 12:34
GWB.TO.RON.RM5.ACKNAK.R,Local queue,Custom,0,0,0,1000,0.00%,40000 MB,26/03/2008 12:34,30/05/2008 12:34
MCM.DISC.GBAS02027GM.ALNRON.GWY01P,Local queue,Custom,0,6,0,1000,0.00%,40000 MB,27/03/2008 12:34,31/05/2008 12:34
MCM.EVENT.GBAS02027GM.ALNRON.GWY01P,Local queue,Custom,22,0,49,1000,4.90%,40000 MB,28/03/2008 12:34,01/06/2008 12:34
MCM.RPLY.GBAS02027GM.ALNRON.GWY01P,Local queue,Custom,0,4,0,1000,0.00%,40000 MB,29/03/2008 12:34,02/06/2008 12:34
RAIDER.TO.RONNIE.ACK,Local queue,Custom,0,2,0,1000,0.00%,40000 MB,30/03/2008 12:34,03/06/2008 12:34
RON.RM5.GWB.FTSTRD.XMT,Local queue,Custom,2,2,0,1000,0.00%,40000 MB,31/03/2008 12:34,04/06/2008 12:34
RON.RM5.GWX.ERR,Local queue,Custom,3,0,0,1000,0.00%,40000 MB,01/04/2008 12:34,05/06/2008 12:34
RON.RM5.TO.GWB.TRD.S,Remote queue,Custom,0,0,128,1000,12.80%,40000 MB,02/04/2008 12:34,06/06/2008 12:34
RON.TO.ARTS.ERR.01,Local queue,Custom,1,0,0,1000,0.00%,40000 MB,03/04/2008 12:34,07/06/2008 12:34
RON.TO.ARTS.TRD.01,Local queue,Custom,0,0,0,1000,0.00%,40000 MB,04/04/2008 12:34,08/06/2008 12:34
RONNIE.TO.RAIDER.FX,Remote queue,Custom,0,0,0,1000,0.00%,40000 MB,05/04/2008 12:34,09/06/2008 12:34
RONNIE.TO.RAIDER.XMT,Local queue,Custom,0,45,0,1000,0.00%,40000 MB,06/04/2008 12:34,10/06/2008 12:34
SI.GL.TO.HK.REQ.01,Local queue,Custom,0,0,0,1000,0.00%,40000 MB,07/04/2008 12:34,11/06/2008 12:34
SI.GL.TO.LN.REQ.01,Local queue,Custom,0,0,0,1000,0.00%,40000 MB,08/04/2008 12:34,12/06/2008 12:34
SI.GL.TO.NY.REQ.01,Local queue,Custom,6,5,55,1000,5.50%,40000 MB,09/04/2008 12:34,13/06/2008 12:34
SI.HK.STG.01,Local queue,Custom,0,0,0,1000,0.00%,40000 MB,10/04/2008 12:34,14/06/2008 12:34
SI.HK.TO.GL.ACK.01,Local queue,Custom,4,4,0,1000,0.00%,40000 MB,11/04/2008 12:34,15/06/2008 12:34
SI.LN.STG.01,Local queue,Custom,2,0,0,1000,0.00%,40000 MB,12/04/2008 12:34,16/06/2008 12:34
SI.LN.TO.GL.ACK.01,Local queue,Custom,2,0,126,1000,12.60%,40000 MB,13/04/2008 12:34,17/06/2008 12:34
SI.NY.STG.01,Local queue,Custom,0,6,0,1000,0.00%,40000 MB,14/04/2008 12:34,18/06/2008 12:34
SI.NY.TO.GL.ACK.01,Local queue,Custom,0,2,0,1000,0.00%,40000 MB,15/04/2008 12:34,19/06/2008 12:34
SYSTEM.ADMIN.ACCOUNTING.QUEUE,Local queue,System,0,0,0,1000,0.00%,40000 MB,16/04/2008 12:34,20/06/2008 12:34
SYSTEM.ADMIN.ACTIVITY.QUEUE,Local queue,System,0,0,0,1000,0.00%,40000 MB,17/04/2008 12:34,21/06/2008 12:34
SYSTEM.ADMIN.CHANNEL.EVENT,Local queue,System,5,0,0,1000,0.00%,40000 MB,18/04/2008 12:34,22/06/2008 12:34
SYSTEM.ADMIN.COMMAND.QUEUE,Local queue,System,0,22,0,1000,0.00%,40000 MB,19/04/2008 12:34,23/06/2008 12:34
SYSTEM.ADMIN.LOGGER.EVENT,Local queue,System,0,0,47,1000,4.70%,40000 MB,20/04/2008 12:34,24/06/2008 12:34
SYSTEM.ADMIN.PERFM.EVENT,Local queue,System,0,0,0,1000,0.00%,40000 MB,21/04/2008 12:34,25/06/2008 12:34
SYSTEM.ADMIN.QMGR.EVENT,Local queue,System,0,2,0,1000,0.00%,40000 MB,22/04/2008 12:34,26/06/2008 12:34
SYSTEM.ADMIN.STATISTICS.QUEUE,Local queue,System,0,3,0,1000,0.00%,40000 MB,23/04/2008 12:34,27/06/2008 12:34
SYSTEM.ADMIN.TRACE.ROUTE.QUEUE,Local queue,System,0,0,0,1000,0.00%,40000 MB,24/04/2008 12:34,28/06/2008 12:34
SYSTEM.AUTH.DATA.QUEUE,Local queue,System,0,45,111,1000,11.10%,40000 MB,25/04/2008 12:34,29/06/2008 12:34
SYSTEM.CHANNEL.INITQ,Local queue,System,0,0,0,1000,0.00%,40000 MB,26/04/2008 12:34,30/06/2008 12:34
SYSTEM.CHANNEL.SYNCQ,Local queue,System,0,0,2,1000,0.20%,40000 MB,27/04/2008 12:34,01/07/2008 12:34
SYSTEM.CICS.INITIATION.QUEUE,Local queue,System,4,5,0,1000,0.00%,40000 MB,28/04/2008 12:34,02/07/2008 12:34
SYSTEM.CLUSTER.COMMAND.QUEUE,Local queue,System,0,0,0,1000,0.00%,40000 MB,29/04/2008 12:34,03/07/2008 12:34
SYSTEM.CLUSTER.REPOSITORY.QUEUE,Local queue,System,0,4,1,1000,0.10%,40000 MB,30/04/2008 12:34,04/07/2008 12:34
SYSTEM.CLUSTER.TRANSMIT.QUEUE,Local queue,System,5,0,0,1000,0.00%,40000 MB,01/05/2008 12:34,05/07/2008 12:34
SYSTEM.DEAD.LETTER.QUEUE,Local queue,System,0,0,0,1000,0.00%,40000 MB,02/05/2008 12:34,06/07/2008 12:34
SYSTEM.DEFAULT.ALIAS.QUEUE,Alias queue,System,4,6,0,1000,0.00%,40000 MB,03/05/2008 12:34,07/07/2008 12:34
SYSTEM.DEFAULT.INITIATION.QUEUE,Local queue,System,0,2,0,1000,0.00%,40000 MB,04/05/2008 12:34,08/07/2008 12:34
SYSTEM.DEFAULT.LOCAL.QUEUE,Local queue,System,0,0,0,1000,0.00%,40000 MB,05/05/2008 12:34,09/07/2008 12:34
SYSTEM.DEFAULT.MODEL.QUEUE,Model Queue,System,0,0,0,1000,0.00%,40000 MB,06/05/2008 12:34,10/07/2008 12:34
SYSTEM.DEFAULT.REMOTE.QUEUE,Remote queue,System,0,0,0,1000,0.00%,40000 MB,07/05/2008 12:34,11/07/2008 12:34
SYSTEM.MQEXPLORER.REPLY.MODEL,Model Queue,System,0,22,0,1000,0.00%,40000 MB,08/05/2008 12:34,12/07/2008 12:34
SYSTEM.MQSC.REPLY.QUEUE,Model Queue,System,0,0,0,1000,0.00%,40000 MB,09/05/2008 12:34,13/07/2008 12:34
SYSTEM.PENDING.DATA.QUEUE,Local queue,System,0,0,0,1000,0.00%,40000 MB,10/05/2008 12:34,14/07/2008 12:34

